"Wavelength, µm","n","k"
0.20664,1.3106,2.2934
0.20767,1.3191,2.3145
0.2087,1.3278,2.3361
0.20975,1.3369,2.3583
0.21081,1.3464,2.3811
0.21188,1.3563,2.4047
0.21295,1.3666,2.4289
0.21404,1.3774,2.4539
0.21515,1.3886,2.4797
0.21626,1.4005,2.5064
0.21738,1.4129,2.5339
0.21852,1.4261,2.5623
0.21967,1.44,2.5918
0.22083,1.4547,2.6222
0.222,1.4704,2.6537
0.22318,1.4871,2.6864
0.22438,1.5049,2.7203
0.22559,1.524,2.7554
0.22681,1.5446,2.7918
0.22805,1.5667,2.8296
0.2293,1.5906,2.8687
0.23057,1.6165,2.9094
0.23184,1.6447,2.9515
0.23314,1.6754,2.9951
0.23444,1.709,3.0401
0.23577,1.7458,3.0867
0.2371,1.7863,3.1346
0.23845,1.8308,3.1838
0.23982,1.8799,3.2341
0.2412,1.9343,3.2852
0.2426,1.9944,3.3368
0.24402,2.061,3.3882
0.24545,2.1348,3.4389
0.2469,2.2163,3.4879
0.24837,2.3063,3.534
0.24985,2.4052,3.5757
0.25135,2.5132,3.6114
0.25287,2.6304,3.6389
0.25441,2.7559,3.656
0.25597,2.8887,3.6603
0.25755,3.0267,3.6493
0.25914,3.1671,3.6213
0.26076,3.3062,3.5749
0.26239,3.4399,3.5101
0.26405,3.564,3.4278
0.26573,3.6747,3.3306
0.26743,3.7691,3.2218
0.26915,3.8454,3.1056
0.27089,3.9032,2.9862
0.27266,3.9433,2.8675
0.27445,3.9673,2.753
0.27626,3.9775,2.6449
0.2781,3.9762,2.545
0.27996,3.9661,2.4543
0.28185,3.9492,2.3729
0.28376,3.9277,2.3009
0.2857,3.9032,2.2378
0.28766,3.877,2.183
0.28966,3.8503,2.1358
0.29168,3.8238,2.0956
0.29372,3.7983,2.0616
0.2958,3.7743,2.0331
0.29791,3.752,2.0096
0.30005,3.7317,1.9904
0.30222,3.7136,1.975
0.30442,3.6979,1.9629
0.30665,3.6845,1.9538
0.30891,3.6736,1.9472
0.31121,3.6651,1.9429
0.31354,3.6591,1.9405
0.31591,3.6555,1.9397
0.31832,3.6543,1.9405
0.32076,3.6555,1.9424
0.32324,3.659,1.9455
0.32576,3.665,1.9494
0.32831,3.6732,1.9541
0.33091,3.6837,1.9595
0.33355,3.6966,1.9653
0.33623,3.7118,1.9716
0.33896,3.7293,1.9782
0.34173,3.7491,1.985
0.34454,3.7713,1.992
0.34741,3.7959,1.9989
0.35032,3.823,2.0059
0.35328,3.8526,2.0128
0.35629,3.8848,2.0195
0.35935,3.9197,2.0259
0.36246,3.9574,2.032
