"Wavelength, µm","n","k"
0.20664,0.85237,2.3048
0.20767,0.85998,2.3222
0.2087,0.8678,2.3399
0.20975,0.87585,2.3579
0.21081,0.88413,2.3761
0.21188,0.89265,2.3947
0.21295,0.90143,2.4136
0.21404,0.91047,2.4328
0.21515,0.91979,2.4523
0.21626,0.92941,2.4721
0.21738,0.93934,2.4923
0.21852,0.94959,2.5129
0.21967,0.96018,2.5338
0.22083,0.97113,2.5551
0.222,0.98246,2.5768
0.22318,0.99419,2.5989
0.22438,1.0063,2.6214
0.22559,1.0189,2.6443
0.22681,1.032,2.6676
0.22805,1.0455,2.6914
0.2293,1.0596,2.7156
0.23057,1.0742,2.7403
0.23184,1.0895,2.7654
0.23314,1.1053,2.791
0.23444,1.1218,2.8171
0.23577,1.139,2.8437
0.2371,1.1569,2.8709
0.23845,1.1757,2.8985
0.23982,1.1952,2.9266
0.2412,1.2157,2.9553
0.2426,1.2371,2.9845
0.24402,1.2596,3.0142
0.24545,1.2831,3.0445
0.2469,1.3078,3.0753
0.24837,1.3337,3.1066
0.24985,1.3609,3.1384
0.25135,1.3895,3.1707
0.25287,1.4196,3.2035
0.25441,1.4514,3.2367
0.25597,1.4848,3.2703
0.25755,1.52,3.3043
0.25914,1.5572,3.3386
0.26076,1.5965,3.3731
0.26239,1.638,3.4078
0.26405,1.6818,3.4425
0.26573,1.7282,3.4771
0.26743,1.7771,3.5116
0.26915,1.8289,3.5457
0.27089,1.8836,3.5792
0.27266,1.9415,3.6119
0.27445,2.0025,3.6435
0.27626,2.0669,3.6739
0.2781,2.1348,3.7025
0.27996,2.2062,3.7291
0.28185,2.2813,3.7533
0.28376,2.3599,3.7745
0.2857,2.442,3.7923
0.28766,2.5276,3.8061
0.28966,2.6163,3.8155
0.29168,2.7079,3.8198
0.29372,2.8019,3.8185
0.2958,2.8979,3.8111
0.29791,2.9952,3.7972
0.30005,3.093,3.7763
0.30222,3.1905,3.7481
0.30442,3.2868,3.7126
0.30665,3.3809,3.6697
0.30891,3.4718,3.6197
0.31121,3.5585,3.563
0.31354,3.6401,3.5001
0.31591,3.7159,3.4317
0.31832,3.7852,3.3587
0.32076,3.8475,3.282
0.32324,3.9024,3.2027
0.32576,3.95,3.1218
0.32831,3.9902,3.0402
0.33091,4.0233,2.9589
0.33355,4.0496,2.8788
0.33623,4.0696,2.8005
