"Wavelength, µm","n","k"
0.20664,0.96081,1.5956
0.20767,0.96496,1.6156
0.2087,0.96935,1.6358
0.20975,0.97398,1.6562
0.21081,0.97885,1.6769
0.21188,0.98398,1.6979
0.21295,0.98937,1.7192
0.21404,0.99504,1.7407
0.21515,1.001,1.7625
0.21626,1.0072,1.7846
0.21738,1.0138,1.807
0.21852,1.0207,1.8297
0.21967,1.0279,1.8527
0.22083,1.0354,1.8761
0.222,1.0434,1.8997
0.22318,1.0516,1.9237
0.22438,1.0603,1.9481
0.22559,1.0694,1.9728
0.22681,1.079,1.9979
0.22805,1.0889,2.0233
0.2293,1.0994,2.0491
0.23057,1.1103,2.0753
0.23184,1.1218,2.1019
0.23314,1.1338,2.1289
0.23444,1.1464,2.1563
0.23577,1.1596,2.1841
0.2371,1.1735,2.2124
0.23845,1.188,2.241
0.23982,1.2032,2.2702
0.2412,1.2192,2.2997
0.2426,1.236,2.3297
0.24402,1.2536,2.3601
0.24545,1.2721,2.391
0.2469,1.2915,2.4223
0.24837,1.312,2.4541
0.24985,1.3335,2.4863
0.25135,1.3561,2.519
0.25287,1.3799,2.552
0.25441,1.405,2.5855
0.25597,1.4314,2.6193
0.25755,1.4593,2.6536
0.25914,1.4886,2.6881
0.26076,1.5196,2.7229
0.26239,1.5523,2.758
0.26405,1.5867,2.7932
0.26573,1.6231,2.8286
0.26743,1.6615,2.864
0.26915,1.702,2.8993
0.27089,1.7447,2.9345
0.27266,1.7899,2.9694
0.27445,1.8375,3.0038
0.27626,1.8877,3.0376
0.2781,1.9407,3.0706
0.27996,1.9964,3.1026
0.28185,2.0551,3.1333
0.28376,2.1167,3.1624
0.2857,2.1814,3.1897
0.28766,2.2491,3.2148
0.28966,2.3198,3.2374
0.29168,2.3936,3.257
0.29372,2.4701,3.2732
0.2958,2.5494,3.2856
0.29791,2.6311,3.2938
0.30005,2.7149,3.2974
0.30222,2.8004,3.2959
0.30442,2.8871,3.289
0.30665,2.9745,3.2763
0.30891,3.0619,3.2577
0.31121,3.1486,3.233
0.31354,3.2339,3.2021
0.31591,3.317,3.1653
0.31832,3.3972,3.1226
0.32076,3.4737,3.0745
0.32324,3.5459,3.0213
0.32576,3.6132,2.9639
0.32831,3.6751,2.9026
0.33091,3.7312,2.8385
0.33355,3.7814,2.7721
0.33623,3.8256,2.7042
0.33896,3.8638,2.6357
0.34173,3.8962,2.5672
0.34454,3.9229,2.4995
0.34741,3.9444,2.4329
0.35032,3.9609,2.3681
0.35328,3.973,2.3055
0.35629,3.9811,2.2455
0.35935,3.9855,2.1881
0.36246,3.9868,2.1338
0.36563,3.9855,2.0825
0.36886,3.9818,2.0344
0.37214,3.9762,1.9895
0.37548,3.9691,1.9477
0.37888,3.9608,1.9091
0.38235,3.9516,1.8735
0.38588,3.9417,1.841
0.38947,3.9315,1.8113
0.39313,3.9212,1.7845
0.39686,3.9109,1.7603
0.40066,3.9008,1.7386
0.40454,3.8912,1.7195
0.40849,3.8821,1.7026
0.41252,3.8737,1.688
0.41663,3.8661,1.6755
0.42082,3.8594,1.665
0.4251,3.8537,1.6564
0.42947,3.8491,1.6496
0.43392,3.8458,1.6445
0.43847,3.8437,1.6411
0.44312,3.843,1.6391
0.44786,3.8437,1.6386
0.45271,3.8459,1.6395
0.45767,3.8497,1.6417
0.46273,3.8551,1.645
0.46791,3.8623,1.6496
0.4732,3.8713,1.6551
0.47862,3.8822,1.6617
0.48416,3.8951,1.6693
0.48983,3.9099,1.6777
0.49564,3.927,1.687
0.50158,3.9463,1.697
0.50767,3.9679,1.7077
0.51391,3.992,1.719
0.5203,4.0186,1.7309
0.52686,4.048,1.7434
0.53358,4.0801,1.7563
0.54048,4.1153,1.7696
0.54756,4.1537,1.7833
0.55482,4.1953,1.7972
0.56228,4.2405,1.8114
0.56994,4.2893,1.8257
0.57782,4.3421,1.8402
0.58591,4.3989,1.8547
0.59424,4.46,1.8693
0.60281,4.5254,1.884
0.61162,4.5952,1.8987
0.6207,4.669,1.9138
0.63005,4.7463,1.9295
0.63969,4.8259,1.9463
0.64963,4.9058,1.9651
0.65988,4.9828,1.9872
0.67046,5.0525,2.0145
0.68138,5.1103,2.0487
0.69267,5.173,2.1411
0.70433,5.0579,1.8308
0.7164,4.9727,1.6184
0.72889,4.8912,1.437
0.74182,4.8105,1.2685
0.75521,4.7315,1.1041
0.7691,4.6557,0.93874
0.78351,4.5845,0.76894
0.79847,4.5193,0.59237
0.81402,4.4651,0.44689
0.83018,4.4278,0.42726
0.84699,4.3925,0.40708
0.8645,4.3591,0.3864
0.88275,4.3277,0.36527
0.90179,4.2981,0.34377
0.92166,4.2702,0.32197
0.94243,4.2439,0.29999
0.96416,4.2192,0.27791
0.98691,4.1959,0.25588
1.0108,4.1739,0.23404
1.0358,4.1533,0.21254
1.0621,4.1339,0.19159
1.0898,4.1156,0.1714
1.119,4.0984,0.15222
1.1497,4.0822,0.13436
1.1822,4.0671,0.11815
1.2166,4.0529,0.1039
