"Wavelength, µm","n","k"
0.24797,1.4979,1.681
0.25289,1.48,1.7252
0.25791,1.4657,1.772
0.26303,1.4552,1.8208
0.26825,1.4484,1.8711
0.27358,1.4451,1.9223
0.27901,1.4452,1.974
0.28455,1.4483,2.0259
0.2902,1.4543,2.0776
0.29596,1.4628,2.129
0.30184,1.4734,2.1798
0.30783,1.486,2.2299
0.31394,1.5003,2.2793
0.32017,1.5158,2.3279
0.32653,1.5325,2.3758
0.33301,1.5501,2.4229
0.33962,1.5683,2.4694
0.34637,1.587,2.5154
0.35324,1.6061,2.561
0.36025,1.6254,2.6062
0.36741,1.6448,2.6513
0.3747,1.6643,2.6963
0.38214,1.6838,2.7414
0.38973,1.7032,2.7867
0.39746,1.7225,2.8323
0.40535,1.7418,2.8785
0.4134,1.7611,2.9253
0.42161,1.7804,2.9727
0.42998,1.7998,3.021
0.43852,1.8193,3.0702
0.44722,1.839,3.1204
0.4561,1.8591,3.1717
0.46515,1.8796,3.224
0.47439,1.9006,3.2774
0.48381,1.9222,3.332
0.49341,1.9445,3.3878
0.50321,1.9676,3.4447
0.5132,1.9916,3.5027
0.52339,2.0166,3.5618
0.53378,2.0427,3.6219
0.54437,2.0699,3.683
0.55518,2.0984,3.7451
0.5662,2.1281,3.8079
0.57744,2.1592,3.8715
0.58891,2.1917,3.9358
0.6006,2.2255,4.0007
0.61252,2.2607,4.0661
0.62468,2.2974,4.1318
0.63709,2.3354,4.1979
0.64973,2.3748,4.2641
0.66263,2.4155,4.3305
0.67579,2.4574,4.3969
0.6892,2.5006,4.4633
0.70289,2.5449,4.5297
0.71684,2.5903,4.5958
0.73107,2.6366,4.6618
0.74559,2.6837,4.7276
0.76039,2.7317,4.7932
0.77549,2.7802,4.8586
0.79088,2.8294,4.9238
0.80658,2.8789,4.9889
0.8226,2.9288,5.054
0.83893,2.979,5.1191
0.85558,3.0294,5.1843
0.87257,3.08,5.2498
0.88989,3.1306,5.3158
0.90756,3.1814,5.3823
0.92557,3.2324,5.4496
0.94395,3.2835,5.5178
0.96269,3.335,5.5871
0.9818,3.3871,5.6577
1.0013,3.4398,5.7297
1.0212,3.4934,5.8033
1.0414,3.5483,5.8785
1.0621,3.6049,5.9554
1.0832,3.6634,6.0341
1.1047,3.7245,6.1143
1.1266,3.7885,6.196
1.149,3.856,6.2788
1.1718,3.9275,6.3623
1.1951,4.0035,6.446
1.2188,4.0844,6.5291
1.243,4.1706,6.6107
1.2677,4.2623,6.6899
1.2929,4.3595,6.7653
1.3185,4.4621,6.8357
1.3447,4.5695,6.8998
1.3714,4.681,6.956
1.3986,4.7954,7.0031
1.4264,4.9111,7.0399
1.4547,5.0264,7.0655
1.4836,5.1391,7.0792
1.513,5.2469,7.081
1.5431,5.3473,7.071
1.5737,5.4381,7.0502
1.605,5.517,7.0198
1.6368,5.582,6.9815
1.6693,5.6314,6.9375
1.7025,5.664,6.8899
1.7363,5.679,6.8415
1.7707,5.6762,6.7946
1.8059,5.6555,6.7518
1.8417,5.6176,6.7156
1.8783,5.563,6.6881
1.9156,5.4931,6.6714
1.9536,5.409,6.6674
1.9924,5.3124,6.6776
2.0319,5.2048,6.7034
2.0723,5.088,6.7457
2.1134,4.9639,6.8054
2.1554,4.8343,6.883
2.1982,4.7012,6.9789
2.2418,4.5664,7.093
2.2863,4.4316,7.2252
2.3317,4.2987,7.3748
2.378,4.1689,7.5413
2.4252,4.0438,7.7237
2.4734,3.9244,7.9211
2.5225,3.8115,8.1325
2.5725,3.7059,8.3567
2.6236,3.608,8.5928
2.6757,3.5181,8.8395
2.7288,3.4365,9.0961
2.783,3.3629,9.3617
2.8383,3.2975,9.6354
2.8946,3.2401,9.9165
2.9521,3.1904,10.205
3.0107,3.1483,10.499
3.0704,3.1134,10.8
3.1314,3.0856,11.106
3.1936,3.0646,11.417
3.257,3.0502,11.734
3.3216,3.0421,12.056
3.3876,3.0402,12.383
3.4548,3.0442,12.714
3.5234,3.054,13.05
3.5934,3.0694,13.391
3.6647,3.0904,13.737
3.7375,3.1168,14.087
3.8117,3.1484,14.442
3.8873,3.1853,14.801
3.9645,3.2273,15.165
4.0432,3.2744,15.534
4.1235,3.3265,15.908
4.2053,3.3837,16.287
4.2888,3.446,16.67
4.374,3.5132,17.059
4.4608,3.5855,17.452
4.5494,3.6628,17.851
4.6397,3.7453,18.254
4.7318,3.8328,18.663
4.8257,3.9255,19.078
4.9216,4.0235,19.497
5.0193,4.1267,19.922
5.1189,4.2353,20.352
5.2205,4.3494,20.788
5.3242,4.469,21.229
5.4299,4.5941,21.676
5.5377,4.725,22.129
5.6476,4.8617,22.587
5.7597,5.0042,23.051
5.8741,5.1528,23.52
5.9907,5.3076,23.996
6.1096,5.4685,24.477
6.2309,5.6358,24.964
6.3546,5.8096,25.457
6.4808,5.9901,25.955
6.6094,6.1772,26.46
6.7407,6.3713,26.97
6.8745,6.5723,27.486
7.011,6.7805,28.008
7.1502,6.9959,28.536
7.2921,7.2188,29.07
7.4369,7.4492,29.609
7.5845,7.6874,30.154
7.7351,7.9333,30.705
7.8887,8.1872,31.262
8.0453,8.4493,31.824
8.205,8.7195,32.392
8.3679,8.9982,32.965
8.534,9.2853,33.544
8.7034,9.5811,34.128
8.8762,9.8857,34.717
9.0524,10.199,35.311
9.2322,10.522,35.911
9.4154,10.853,36.516
9.6024,11.194,37.125
9.793,11.544,37.74
9.9874,11.904,38.359
10.186,12.273,38.983
10.388,12.652,39.611
10.594,13.041,40.244
10.804,13.439,40.881
11.019,13.848,41.522
11.238,14.266,42.167
11.461,14.694,42.816
11.688,15.133,43.469
11.92,15.582,44.125
12.157,16.04,44.785
12.398,16.51,45.448
