"Wavelength, µm","n","k"
0.4,1.71,2.23
0.42,1.73,2.44
0.44,1.89,2.59
0.46,1.92,2.67
0.48,2.03,2.77
0.5,2.1,2.82
0.52,2.19,2.88
0.54,2.22,2.91
0.56,2.27,2.94
0.57,2.31,2.98
0.59,2.36,3
0.61,2.42,3.04
0.635,2.49,3.11
0.655,2.55,3.15
0.675,2.6,3.17
0.7,2.67,3.2
0.72,2.73,3.22
0.74,2.78,3.23
0.765,2.83,3.3
0.785,2.91,3.34
0.81,2.98,3.4
0.83,3.06,3.44
0.855,3.13,3.49
0.875,3.18,3.51
0.895,3.24,3.51
0.92,3.3,3.54
0.94,3.34,3.55
0.96,3.4,3.55
0.98,3.42,3.58
1.2,3.3,3.7
1.5,3.54,4
1.8,3.89,4.29
2,4.03,4.47
2.25,4.02,4.52
2.5,3.96,4.6
3,3.65,5.36
3.5,3.35,6.4
4,3.31,7.33
4.5,3.36,8.3
5,3.44,9.37
5.5,3.57,10.1
6,3.8,10.9
7,4.56,12.7
8,5.81,14.9
9,7.27,16.1
10,9.09,18.6
